Frequenza,Territorio,Indicatore,Sesso,Età,Stato civile,TIME_PERIOD,Osservazione,'Stato dell"'osservazione'
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2019,7526,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2020,7165,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2021,6962,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2022,6971,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2023,6856,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2024,6533,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,0 anni,Totale,2025,6619,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2019,7671,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2020,7666,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2021,7211,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2022,6987,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2023,7053,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2024,6908,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,1 anni,Totale,2025,6582,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2019,8076,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2020,7705,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2021,7666,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2022,7216,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2023,7009,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2024,7066,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,2 anni,Totale,2025,6978,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2019,8316,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2020,8094,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2021,7698,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2022,7663,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2023,7252,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2024,7059,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,3 anni,Totale,2025,7139,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2019,8583,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2020,8351,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2021,8130,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2022,7656,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2023,7657,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2024,7294,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,4 anni,Totale,2025,7139,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2019,8564,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2020,8582,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2021,8364,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2022,8074,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2023,7709,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2024,7706,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,5 anni,Totale,2025,7382,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2019,8737,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2020,8577,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2021,8476,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2022,8323,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2023,8066,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2024,7769,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,6 anni,Totale,2025,7774,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2019,8929,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2020,8783,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2021,8488,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2022,8516,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2023,8346,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2024,8101,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,7 anni,Totale,2025,7854,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2019,8990,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2020,8930,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2021,8689,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2022,8520,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2023,8521,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2024,8392,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,8 anni,Totale,2025,8188,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2019,9401,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2020,8995,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2021,8860,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2022,8714,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2023,8562,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2024,8565,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,9 anni,Totale,2025,8474,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2019,9116,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2020,9434,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2021,8931,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2022,8906,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2023,8782,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2024,8616,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,10 anni,Totale,2025,8622,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2019,9227,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2020,9132,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2021,9385,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2022,8944,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2023,8923,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2024,8814,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,11 anni,Totale,2025,8702,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2019,9227,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2020,9239,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2021,9093,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2022,9415,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2023,8970,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2024,8949,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,12 anni,Totale,2025,8887,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2019,8963,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2020,9247,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2021,9181,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2022,9153,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2023,9450,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2024,9014,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,13 anni,Totale,2025,9009,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2019,8990,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2020,9033,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2021,9199,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2022,9255,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2023,9194,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2024,9495,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,14 anni,Totale,2025,9104,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2019,8602,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2020,9024,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2021,9003,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2022,9248,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2023,9283,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2024,9246,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,15 anni,Totale,2025,9582,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2019,8764,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2020,8671,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2021,9062,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2022,9028,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2023,9303,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2024,9315,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,16 anni,Totale,2025,9363,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2019,8803,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2020,8849,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2021,8685,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2022,9115,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2023,9112,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2024,9373,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,17 anni,Totale,2025,9428,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2019,8948,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2020,8922,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2021,8841,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2022,8767,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2023,9314,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2024,9311,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,18 anni,Totale,2025,9536,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2019,8838,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2020,9085,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2021,9058,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2022,8906,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2023,8972,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2024,9504,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,19 anni,Totale,2025,9471,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2019,8634,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2020,9000,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2021,9351,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2022,9083,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2023,9118,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2024,9181,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,20 anni,Totale,2025,9720,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2019,8626,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2020,8790,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2021,9473,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2022,9254,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2023,9248,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2024,9376,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,21 anni,Totale,2025,9392,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2019,8643,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2020,8848,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2021,9454,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2022,9197,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2023,9455,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2024,9478,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,22 anni,Totale,2025,9637,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2019,8564,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2020,8927,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2021,9470,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2022,9047,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2023,9468,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2024,9771,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,23 anni,Totale,2025,9764,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2019,8825,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2020,8935,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2021,9520,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2022,9214,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2023,9382,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2024,9848,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,24 anni,Totale,2025,10113,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2019,8935,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2020,9262,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2021,9523,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2022,9461,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2023,9705,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2024,9879,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,25 anni,Totale,2025,10148,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2019,9697,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2020,9490,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2021,9802,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2022,9647,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2023,10100,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2024,10301,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,26 anni,Totale,2025,10210,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2019,9746,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2020,10347,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2021,10040,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2022,10002,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2023,10224,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2024,10657,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,27 anni,Totale,2025,10653,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2019,10273,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2020,10419,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2021,10831,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2022,10358,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2023,10683,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2024,10837,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2025,10983,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2019,10294,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2020,10914,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2021,10804,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2022,11084,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2023,10974,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2024,11196,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2025,11085,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2019,10703,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2020,10842,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2021,11253,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2022,10945,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2023,11738,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2024,11394,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2025,11513,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2019,10911,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2020,11173,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2021,11106,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2022,11435,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2023,11478,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2024,12163,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2025,11648,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2019,11016,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2020,11268,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2021,11386,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2022,11265,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2023,11861,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2024,11804,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2025,12417,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2019,11617,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2020,11373,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2021,11366,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2022,11504,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2023,11589,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2024,12191,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2025,12028,Dato stimato
